25	60
0	24
0	1	4
0	2	2
0	3	6
0	5	-1
0	8	12
1	2	5
1	4	3
1	6	8
1	9	15
2	3	1
2	5	7
2	7	-2
2	10	9
3	4	4
3	8	5
3	11	11
4	5	6
4	9	-3
4	12	14
5	6	2
5	10	4
5	13	10
6	7	3
6	11	7
6	14	13
7	8	2
7	12	1
7	15	8
8	9	6
8	13	-4
8	16	17
9	10	3
9	14	5
9	17	12
10	11	8
10	15	2
10	18	15
11	12	4
11	16	-1
11	19	9
12	13	5
12	17	6
12	20	11
13	14	2
13	18	3
13	24	20
14	15	7
14	19	-2
14	20	10
15	16	1
15	20	4
16	17	3
16	21	5
17	18	6
17	22	-3
18	19	2
18	23	7
19	20	4
19	24	9
20	21	2
20	24	8
21	22	5
21	24	-1
22	23	3
22	24	6
23	24	2
